AK,Adak Nas,PADK
AK,Akhiok,PAKH
AK,Akutan,PAUT
AK,Ambler,PAFM
AK,Anaktuvuk Pass,PAKP
AK,Anchorage Intl,PANC
AK,Anchorage/Lake H,PALH
AK,Anchorage/Merril,PAMR
AK,Angoon Seaplane,PAGN
AK,Aniak,PANI
AK,Annette Island,PANT
AK,Anvik,PANV
AK,Arctic Village,PARC
AK,Atka,PAAK
AK,Atqasuk Burnell,PATQ
AK,Barter Island,PABA
AK,Bethel,PABE
AK,Bettles,PABT
AK,Big River Lakes,PALV
AK,Birchwood,PABV
AK,Brevig Mission,PFKT
AK,Bryant Army Af,PAFR
AK,Buckland,PABL
AK,Cantwell,PATW
AK,Cape Lisburne,PALU
AK,Cape Newenham,PAEH
AK,Cape Romanzof,PACZ
AK,Central,PACE
AK,Central,PARL
AK,Chandalar Lake,PALR
AK,Chevak,PAVA
AK,Chignik Bay,PAJC
AK,Chulitna,PAEC
AK,Circle/Pafc Rfc,PACR
AK,Clarks Point,PFCL
AK,Cold Bay,PACD
AK,Cordova,PACV
AK,Deadhorse,PASC
AK,Deering,PADE
AK,Delta Junction,PABI
AK,Dillingham,PADL
AK,Dutch Harbor,PADU
AK,Eagle,PAEG
AK,Eareckson/Shemya,PASY
AK,Egegik,PAII
AK,Eielson Afb,PAEI
AK,Elfin Cove,PAEL
AK,Elim Aprt,PFEL
AK,Elmendorf Afb,PAED
AK,Emmonak,PAEM
AK,Eureka,PAZK
AK,Fairbanks,PAFA
AK,False Pass,PAKF
AK,Farewell Lake,PAFK
AK,Fort Wainwright,PAFB
AK,Fort Yukon,PFYU
AK,Funter Bay,PAFN
AK,Galbraith Lake,PAGB
AK,Galena,PAGA
AK,Gambell,PAGM
AK,Golovin,PAGL
AK,Gulkana,PAGK
AK,Gustavus,PAGS
AK,Haines,PAHN
AK,Hayes River,PAHZ
AK,Healy,PAHV
AK,Holy Cross,PAHC
AK,Homer,PAHO
AK,Hoonah,PAOH
AK,Hooper Bay,PAHP
AK,Huslia,PAHL
AK,Huslia,PAHS
AK,Hydaburg,PAHY
AK,Igiugig,PAIG
AK,Iliamna,PAIL
AK,Indian Mountain,PAIM
AK,Juneau,PAJN
AK,Kake,PAFE
AK,Kalskag,PALG
AK,Kaltag,PAKV
AK,Kenai,PAEN
AK,Ketchikan,PAKT
AK,Kiana,PAIK
AK,King Cove,PAVC
AK,King Salmon,PAKN
AK,Kipnuk,PAKI
AK,Kivalina,PAVL
AK,Klawock,PAKW
AK,Kodiak,PADQ
AK,Koliganek,PAJZ
AK,Kotzebue,PAOT
AK,Koyuk,PAKK
AK,Kuparuk,PAKU
AK,Kwethluk,PFKW
AK,Manley Hot Sprin,PAML
AK,Manokotak,PAMB
AK,Marshall,PADM
AK,Mccarthy,PAMX
AK,Mcgrath,PAMC
AK,Mckinley Park,PAIN
AK,Mekoryuk,PAMY
AK,Metlakatla,PAMM
AK,Middleton Island,PAMD
AK,Minchumina,PAMH
AK,Mountain Village,PAMO
AK,Nabesna,PABN
AK,Napakiak,PANA
AK,Nelson Lagoon,PAOU
AK,Nenana,PANN
AK,New Stuyahok,PANW
AK,Nikolai,PAFS
AK,Noatak,PAWN
AK,Nome,PAOM
AK,Noorvik,PFNO
AK,Northway,PAOR
AK,Nuiqsut,PAQT
AK,Nuiqsut,PPNU
AK,Nuiqsut Village,PALP
AK,Nunapitchuk,PPIT
AK,Oliktok Point,POLI
AK,Oooguruk Island,PFNU
AK,Palmer,PAAQ
AK,Paxson,PAXK
AK,Petersburg,PAPG
AK,Pilot Point,PAPN
AK,Platinum,PAPM
AK,Point Hope,PAPO
AK,Point Lay,PPIZ
AK,Point Thompson,PAAD
AK,Port Alexander,PAAP
AK,Port Alsworth,PALJ
AK,Port Clarence,PAPC
AK,Port Heiden,PAPH
AK,Portage Glacier,PATO
AK,Prospect Creek,PAPR
AK,Prudhoe Bay,PAUD
AK,Puntilla Lake,PAPT
AK,Quinhagak,PAQH
AK,Reg Dog,PADG
AK,Reg Dog,PARD
AK,Ruby,PARY
AK,Russian Mission,PARS
AK,Saint Marys,PASM
AK,Sand Point,PASD
AK,Savoonga,PASA
AK,Scammon Bay,PACM
AK,Selawik,PASK
AK,Seldovia,PASO
AK,Seward,PAWD
AK,Shageluk,PAHX
AK,Shaktoolik,PFSH
AK,Shishmaref,PASH
AK,Shungnak,PAGH
AK,Sitka,PASI
AK,Skagway,PAGY
AK,Skwentna,PASW
AK,Slana,PADT
AK,Sleetmute,PASL
AK,Snowshoe Lake,PALK
AK,Soldotna,PASX
AK,South Naknek,PFWS
AK,Sparrevohn,PASV
AK,St George,PAPB
AK,St Michael,PAMK
AK,St Paul Island,PASN
AK,Stony River Land,PAER
AK,Sutton,PAJV
AK,Tahnetna Pass Lo,PASP
AK,Talkeetna,PATK
AK,Tanana,PATA
AK,Tatalina Afs,PATL
AK,Teller,PATE
AK,Tin City Afs,PATC
AK,Togiak,PATG
AK,Toksook Bay,PAOO
AK,Umiat,PAUM
AK,Unalakleet,PAUN
AK,Utqiagvik,PABR
AK,Valdez,PAVD
AK,Valdez Wso,PAVW
AK,Wainwright,PAWI
AK,Wales,PAIW
AK,Wasilla,PAWS
AK,White Mountain,PAWM
AK,Whittier,PAWR
AK,Willow,PAUO
AK,Wolverine Road,PAIZ
AK,Wrangell,PAWG
AK,Yakutat,PAYA
AL,Alabaster,KEET
AL,Albertville Muni,K8A0
AL,Alexander/Russel,KALX
AL,Andalusia/Opp Ar,K79J
AL,Anniston,KANB
AL,Auburn Opelika A,KAUO
AL,Auburn Univ. (Am,KAUB
AL,Bessemer,KEKY
AL,Birmingham,KBHM
AL,Centreville Wsm,K0A8
AL,Courtland,K9A4
AL,Cullman/Folsom F,K3A1
AL,Cullman/Folsom F,KCMD
AL,Decatur,KDCU
AL,Demopolis,KDYA
AL,Dothan,KDHN
AL,Enterprise,KEDN
AL,Eufaula,KEUF
AL,Evergreen,KGZH
AL,Fairhope,KCQF
AL,Florala Muni,K0J4
AL,Ft Payne/Isbell,K4A9
AL,Ft Rucker/Hanche,KHEY
AL,Ft Rucker/Shell,KSXS
AL,Gadsden Muni,KGAD
AL,Greenville,KPRN
AL,Gulf Shores,KJKA
AL,Haleyville,K1M4
AL,Huntsville,KHSV
AL,Huntsville/Madis,KMDQ
AL,Jasper/Walker,KJFX
AL,Lowe Ahp/Ft. Ruc,KLOR
AL,Marion,KA08
AL,Maxwell Afb/Mgm,KMXF
AL,Mobile/Bates,KMOB
AL,Mobile/Brookley,KBFM
AL,Montgomery,KMGM
AL,Muscle Shoal,KMSL
AL,Ozark/Cairns Aaf,KOZR
AL,Pell City,KPLR
AL,Phi Oil Plat,KRAM
AL,Prattville,K1A9
AL,Redstone Arsenal,KHUA
AL,Scottsboro,K4A6
AL,Selma/Craig Fld,KSEM
AL,Sylacauga,KSCD
AL,Talladega,KASN
AL,Troy,KTOI
AL,Tuscaloosa,KTCL
AL,Viosca Knoll768,KVOA
AR,Arkadelphia,KADF
AR,Batesville,KBVX
AR,Benton,KSUZ
AR,Bentonville,KH00
AR,Bentonville,KVBT
AR,Bentonville (Nw),KXNA
AR,Blytheville,KBYH
AR,Blytheville,KHKA
AR,Camden,KCDH
AR,Cantrell,KCXW
AR,Clinton Muni,KCCA
AR,Coldwater,K3K8
AR,Corning,K4M9
AR,De Queen,KDEQ
AR,El Dorado,KELD
AR,Fayetteville,KFYV
AR,Flippin (Awos),KFLP
AR,Fort Smith,KFSM
AR,Harrison,KHRO
AR,Hot Springs,KHOT
AR,Jonesboro,KJBR
AR,Little Rock,KLIT
AR,Little Rock Afb,KLRF
AR,Mena Intermtn,KMEZ
AR,Monticello,KLLQ
AR,Mount Ida,KMWT
AR,Mountain Home,KBPK
AR,N Little Rock,KORK
AR,N. Little Rock,KLZK
AR,Newport,KM19
AR,Pine Bluff/Gridr,KPBF
AR,Rogers,KROG
AR,Russellville,KRUE
AR,Searcy,KSRC
AR,Siloam Spring,KSLG
AR,Springdale Muni,KASG
AR,Stuttgart,KSGT
AR,Texarkana,KTXK
AR,W Memphis Muni,KAWM
AR,Walnut Ridge,KARG
AZ,Ak-Chin,KA39
AZ,Buckeye,KBXK
AZ,Bullhead City,KIFP
AZ,Casa Granda,KCGZ
AZ,Chandler,KCHD
AZ,Chandler/Mesa,KIWA
AZ,Colorado City,KAZC
AZ,Coolidge Muni,KP08
AZ,Davis/Tucson,KDMA
AZ,Douglas Bisbee,KDUG
AZ,Flagstaff,KFLG
AZ,Fort Huachuca,KFHU
AZ,Gila Bend (Aaf),KGXF
AZ,Glendale,KGEU
AZ,Goodyear Municip,KGYR
AZ,Grand Canyon,KGCN
AZ,Grand Canyon/Val,K40G
AZ,Kingman,KIGM
AZ,Laguna (Aaf),KLGF
AZ,Lake Havasu City,KHII
AZ,Luke Afb/Glendal,KLUF
AZ,Mesa/Falcon Fld,KFFZ
AZ,Nogales,KOLS
AZ,Page,KPGA
AZ,Payson,KPAN
AZ,Phoenix/Deer Vly,KDVT
AZ,Phoenix/Sky Hrbr,KPHX
AZ,Pioneer Airfield,KALK
AZ,Prescott,KPRC
AZ,Safford,KSAD
AZ,Scottsdale,KSDL
AZ,Sedona,KSEZ
AZ,Show Low Municip,KSOW
AZ,Springerville,KJTC
AZ,St. Johns,KSJN
AZ,Taylor,KTYL
AZ,Tucson,KTUS
AZ,Tucson/Marana,KAVQ
AZ,Tucson/Ryan Fld,KRYN
AZ,Williams Clark,KCMR
AZ,Window Rock,KRQE
AZ,Winslow,KINW
AZ,Yuma Aux,KNOZ
AZ,Yuma Intl,KYUM
AZ,Yuma Mcas,KNYL
CA,Alameda Nas,KNGZ
